Laikotarpis;Rodiklis;Administracinė teritorija;Gyvenamoji vietovė;Matavimo vienetai;Reikšmė
2004;Vidutinis būsto dydis;Elektrėnų sav.;Miestas ir kaimas;m²;57.7
2005;Vidutinis būsto dydis;Elektrėnų sav.;Miestas ir kaimas;m²;58.6
2006;Vidutinis būsto dydis;Elektrėnų sav.;Miestas ir kaimas;m²;58.9
2007;Vidutinis būsto dydis;Elektrėnų sav.;Miestas ir kaimas;m²;59.0
2008;Vidutinis būsto dydis;Elektrėnų sav.;Miestas ir kaimas;m²;59.3
2009;Vidutinis būsto dydis;Elektrėnų sav.;Miestas ir kaimas;m²;63.3
2010;Vidutinis būsto dydis;Elektrėnų sav.;Miestas ir kaimas;m²;63.4
2011;Vidutinis būsto dydis;Elektrėnų sav.;Miestas ir kaimas;m²;63.7
2012;Vidutinis būsto dydis;Elektrėnų sav.;Miestas ir kaimas;m²;63.8
2013;Vidutinis būsto dydis;Elektrėnų sav.;Miestas ir kaimas;m²;63.8
2014;Vidutinis būsto dydis;Elektrėnų sav.;Miestas ir kaimas;m²;64.6
2015;Vidutinis būsto dydis;Elektrėnų sav.;Miestas ir kaimas;m²;64.9
2016;Vidutinis būsto dydis;Elektrėnų sav.;Miestas ir kaimas;m²;65.2
2017;Vidutinis būsto dydis;Elektrėnų sav.;Miestas ir kaimas;m²;65.5
2018;Vidutinis būsto dydis;Elektrėnų sav.;Miestas ir kaimas;m²;65.7
2004;Vidutinis būsto dydis;Šalčininkų r. sav.;Miestas ir kaimas;m²;65.4
2005;Vidutinis būsto dydis;Šalčininkų r. sav.;Miestas ir kaimas;m²;66.1
2006;Vidutinis būsto dydis;Šalčininkų r. sav.;Miestas ir kaimas;m²;66.2
2007;Vidutinis būsto dydis;Šalčininkų r. sav.;Miestas ir kaimas;m²;66.2
2008;Vidutinis būsto dydis;Šalčininkų r. sav.;Miestas ir kaimas;m²;66.3
2009;Vidutinis būsto dydis;Šalčininkų r. sav.;Miestas ir kaimas;m²;70.2
